76,110087,T,"Thornbury, 225 Claredon Street   6 Bedroom Community Residential Unit",Thornbury,,"$309,000.00 ",Human Services,,2000/07/24,,800074
110,90415,T,Villa Upgrades - Ballarat & Bacchus Marsh,,,,Housing,,,,800183
196,129403,T,"New School, Portland",,,$0.00 ,Housing,,,,800514
197,113059,T,"CRU Upgrade - 21 Peter St, Warrnambool",Warrnambool,,,DHS,,,,847525
211,78373,T,Swan Hill - 72-76 Gray Street,,,$0.00 ,Housing,,,,800536
258,78373,T,Swan Hill - 72-76 Gray Street,,,$0.00 ,Housing,,,,800536
259,34241,T,Cobram - 8 X Op'S Cornish/Moorpark Court,,,$0.00 ,Housing,,,,800677
260,39992,T,Warrawonga - 6 X Op @ 45 Orr Street,,,$0.00 ,Housing,,,,800677
293,62020,T,"Mooroopna, S5 Homewood Drive, D&C 2X2 Br Houses For Ahb",,,$0.00 ,Housing,,,,800677
362,62020,T,"Mooroopna, S5 Homewood Drive, D&C 2X2 Br Houses For Ahb",,,$0.00 ,Housing,,,,800677
370,85833,T,Taylors Lakes S C New School,Taylors Lakes,,$0.00 ,Housing,,,,801038
439,41337,T,"Maryborough, 13 Burke St - 6X1 Br Opu",,,,Housing,,,,801385
440,106179,T,"Construct 2 Buildings, Gordon Institute, Geelong",,,,Housing,,,,801405
441,1720,T,"Construct 13 Units, Ballarat Rd, Maidstone",Maidstone,,$0.00 ,DHS,,,,801548
442,8231,T,"Ballarat Rd, Braybrook",Braybrook,,$0.00 ,DHS,,,,801548
443,2141,T,"2 Rose St, Pascoe Vale",Pascoe Vale,,$0.00 ,DHS,,,,801548
444,110087,T,"Thornbury, 225 Claredon Street   6 Bedroom Community Residential Unit",Thornbury,,"$309,000.00 ",Human Services,,2000/07/24,,800074
445,90415,T,Villa Upgrades - Ballarat & Bacchus Marsh,,,,Housing,,,,800183
446,129403,T,"New School, Portland",,,$0.00 ,Housing,,,,800514
447,113059,T,"CRU Upgrade - 21 Peter St, Warrnambool",Warrnambool,,,DHS,,,,847525
448,78373,T,Swan Hill - 72-76 Gray Street,,,$0.00 ,Housing,,,,800536
495,17480,T,"Construct 1X2 & 1X3 Br House  36 Hornsey Park, Mildura",,,$0.00 ,Housing,,,,801550
496,34241,T,Cobram - 8 X Op'S Cornish/Moorpark Court,,,$0.00 ,Housing,,,,800677
497,39992,T,Warrawonga - 6 X Op @ 45 Orr Street,,,$0.00 ,Housing,,,,800677
